RANK,PLAYER,TEAM,POS,AVG PICK,7 DAY +/-,AVG VALUE,7 DAY +/-,%OWN,
82,Jermaine Kearse,Sea,WR,170.0,+0,0.0,+0,3.0,
83,Andrew Hawkins,Cle,WR,170.0,+0,0.0,+0,2.6,
84,Allen Hurns,Jac,WR,170.0,+0,0.0,+0,2.3,
85,Wes Welker,Den,WR,170.0,+0,0.0,+0,2.1,
86,Riley Cooper,Phi,WR,170.0,+0,0.0,+0,1.7,
87,Robert Woods,Buf,WR,170.0,+0,0.0,+0,1.7,
88,Marquess Wilson,Chi,WR,170.0,+0,0.0,+0,1.7,
89,Sammie Coates,Pit,WR,170.0,+0,0.0,+0,1.7,
90,Corey Brown,Car,WR,170.0,+0,0.0,+0,1.6,
91,Justin Hunter,Ten,WR,170.0,+0,0.0,+0,1.6,
92,Devin Smith,NYJ,WR,170.0,+0,0.0,+0,1.5,
93,Brian Hartline,Cle,WR,170.0,+0,0.0,+0,1.5,
94,Josh Huff,Phi,WR,170.0,+0,0.0,+0,1.5,
95,Reggie Wayne,Ind,WR,170.0,+0,0.0,+0,1.3,
96,Dexter McCluster,Ten,WR,170.0,+0,0.0,+0,1.2,
97,Devin Hester,Atl,WR,170.0,+0,0.0,+0,1.2,
98,Harry Douglas,Ten,WR,170.0,+0,0.0,+0,1.2,
99,Nate Washington,Hou,WR,170.0,+0,0.0,+0,1.2,
100,Chris Matthews,Sea,WR,170.0,+0,0.0,+0,1.1,
101,Chris Conley,KC,WR,170.0,+0,0.0,+0,1.1,
102,Ted Ginn Jr.,Car,WR,170.0,+0,0.0,+0,1.1,
103,Justin Hardy,Atl,WR,170.0,+0,0.0,+0,1.0,
104,Stedman Bailey,StL,WR,170.0,+0,0.0,+0,1.0,
105,Marlon Brown,Bal,WR,170.0,+0,0.0,+0,1.0,
106,Josh Gordon,Cle,WR,170.0,+0,0.0,+0,0.9,
107,Jarius Wright,Min,WR,170.0,+0,0.0,+0,0.9,
108,Jerricho Cotchery,Car,WR,170.0,+0,0.0,+0,0.9,
109,Miles Austin,Phi,WR,170.0,+0,0.0,+0,0.8,
110,Terrelle Pryor,Cle,WR,170.0,+0,0.0,+0,0.8,
111,Leonard Hankerson,Atl,WR,170.0,+0,0.0,+0,0.8,
112,Hakeem Nicks,Ten,WR,170.0,+0,0.0,+0,0.8,
113,James Jones,NYG,WR,170.0,+0,0.0,+0,0.7,
114,Stefon Diggs,Min,WR,170.0,+0,0.0,+0,0.7,
115,Ty Montgomery,GB,WR,170.0,+0,0.0,+0,0.6,
116,Kenny Bell,TB,WR,170.0,+0,0.0,+0,0.6,
117,Kamar Aiken,Bal,WR,170.0,+0,0.0,+0,0.6,
118,Duron Carter,Ind,WR,170.0,+0,0.0,+0,0.6,
119,Albert Wilson,KC,WR,170.0,+0,0.0,+0,0.5,
120,Andre Roberts,Wsh,WR,170.0,+0,0.0,+0,0.5,
121,Randy Moss,FA,WR,170.0,+0,0.0,+0,0.4,
122,Rod Streater,Oak,WR,170.0,+0,0.0,+0,0.4,
123,Terrell Owens,FA,WR,170.0,+0,0.0,+0,0.4,
124,Jeremy Kerley,NYJ,WR,170.0,+0,0.0,+0,0.3,
125,Jared Abbrederis,GB,WR,170.0,+0,0.0,+0,0.3,
126,Steve Smith,FA,WR,170.0,+0,0.0,+0,0.3,
127,Andre Holmes,Oak,WR,170.0,+0,0.0,+0,0.3,
128,Jamison Crowder,Wsh,WR,170.0,+0,0.0,+0,0.3,
129,Rashad Greene,Jac,WR,170.0,+0,0.0,+0,0.3,
130,Jacoby Jones,SD,WR,170.0,+0,0.0,+0,0.3,
131,Justin Blackmon,Jac,WR,170.0,+0,0.0,+0,0.3,
132,Paul Richardson*,Sea,WR,170.0,+0,0.0,+0,0.3,
133,Jeff Janis,GB,WR,170.0,+0,0.0,+0,0.3,
134,DeAndre Smelter*,SF,WR,170.0,+0,0.0,+0,0.3,
135,Aaron Dobson,NE,WR,170.0,+0,0.0,+0,0.2,
136,Taylor Gabriel,Cle,WR,170.0,+0,0.0,+0,0.2,
137,JJ Nelson,Ari,WR,170.0,+0,0.0,+0,0.2,
138,Jarrett Boykin,Car,WR,170.0,+0,0.0,+0,0.2,
139,Tre McBride,Ten,WR,170.0,+0,0.0,+0,0.2,
140,Michael Campanaro,Bal,WR,170.0,+0,0.0,+0,0.2,
141,Bruce Ellington,SF,WR,170.0,+0,0.0,+0,0.2,
142,Plaxico Burress,Pit,WR,170.0,+0,0.0,+0,0.1,
143,Travis Benjamin,Cle,WR,170.0,+0,0.0,+0,0.1,
144,Ricardo Lockette,Sea,WR,170.0,+0,0.0,+0,0.1,
145,Jaron Brown,Ari,WR,170.0,+0,0.0,+0,0.1,
146,Chad Johnson,FA,WR,170.0,+0,0.0,+0,0.1,
147,Darren Waller,Bal,WR,170.0,+0,0.0,+0,0.1,
148,Denarius Moore,Cin,WR,170.0,+0,0.0,+0,0.1,
149,Santana Moss,Wsh,WR,170.0,+0,0.0,+0,0.1,
150,Jeremy Ross,Det,WR,170.0,+0,0.0,+0,0.1,
151,Corey Washington,NYG,WR,170.0,+0,0.0,+0,0.1,
152,Dontrelle Inman,SD,WR,170.0,+0,0.0,+0,0.1,
153,Vince Mayle,Cle,WR,170.0,+0,0.0,+0,0.1,
154,Louis Murphy,TB,WR,170.0,+0,0.0,+0,0.1,
155,Dwayne Harris,NYG,WR,170.0,+0,0.0,+0,0.1,
156,Lance Moore,Det,WR,170.0,+0,0.0,+0,0.1,
