RANK,PLAYER,TEAM,POS,AVG PICK,7 DAY +/-,AVG VALUE,7 DAY +/-,%OWN,
83,Ahmad Bradshaw,Ind,RB,170.0,+0,0.0,+0,2.4,
84,Damien Williams,Mia,RB,170.0,+0,0.0,+0,2.3,
85,Pierre Thomas,NO,RB,170.0,+0,0.0,+0,2.1,
86,Zac Stacy,NYJ,RB,170.0,+0,0.0,+0,1.9,
87,Steven Jackson,Atl,RB,170.0,+0,0.0,+0,1.8,
88,Travaris Cadet,NE,RB,170.0,+0,0.0,+0,1.5,
89,Toby Gerhart,Jac,RB,170.0,+0,0.0,+0,1.5,
90,Mike Davis,SF,RB,170.0,+0,0.0,+0,1.2,
91,Josh Robinson,Ind,RB,170.0,+0,0.0,+0,1.1,
92,Ka'Deem Carey,Chi,RB,170.0,+0,0.0,+0,1.1,
93,Jacquizz Rodgers,Chi,RB,170.0,+0,0.0,+0,1.0,
94,Mike Tolbert,Car,RB,170.0,+0,0.0,+0,0.9,
95,Dri Archer,Pit,RB,170.0,+0,0.0,+0,0.9,
96,Benjamin Cunningham,StL,RB,170.0,+0,0.0,+0,0.9,
97,Antone Smith,Atl,RB,170.0,+0,0.0,+0,0.8,
98,Bobby Rainey,TB,RB,170.0,+0,0.0,+0,0.8,
99,Bilal Powell,NYJ,RB,170.0,+0,0.0,+0,0.7,
100,Karlos Williams,Buf,RB,170.0,+0,0.0,+0,0.7,
101,Brandon Bolden,NE,RB,170.0,+0,0.0,+0,0.6,
102,Jonathan Grimes,Hou,RB,170.0,+0,0.0,+0,0.6,
103,Bernard Pierce,Jac,RB,170.0,+0,0.0,+0,0.6,
104,Kenjon Barner,Phi,RB,170.0,+0,0.0,+0,0.6,
105,Bryce Brown,Buf,RB,170.0,+0,0.0,+0,0.6,
106,Kendall Hunter,SF,RB,170.0,+0,0.0,+0,0.5,
107,Boobie Dixon,Buf,RB,170.0,+0,0.0,+0,0.5,
108,Jordan Todman,Car,RB,170.0,+0,0.0,+0,0.4,
109,Ryan Williams*,Dal,RB,170.0,+0,1.0,+0,0.4,
110,Ben Tate,Pit,RB,170.0,+0,0.0,+0,0.3,
111,Marcel Reece,Oak,RB,170.0,+0,0.0,+0,0.3,
112,Fozzy Whittaker,Car,RB,170.0,+0,0.0,+0,0.3,
113,Knowshon Moreno*,FA,RB,170.0,+0,0.0,+0,0.3,
114,Gus Johnson,Dal,RB,170.0,+0,0.0,+0,0.3,
115,Juwan Thompson,Den,RB,170.0,+0,0.0,+0,0.3,
116,Kerwynn Williams,Ari,RB,170.0,+0,0.0,+0,0.2,
117,Storm Johnson,Jac,RB,170.0,+0,0.0,+0,0.2,
118,LaDainian Tomlinson,FA,RB,170.0,+0,0.0,+0,0.2,
119,Thomas Rawls,Sea,RB,170.0,+0,0.0,+0,0.2,
120,Tyler Gaffney*,NE,RB,170.0,+0,0.0,+0,0.2,
121,Zach Zenner,Det,RB,170.0,+0,0.0,+0,0.2,
122,Josh Harris,Pit,RB,170.0,+0,0.0,+0,0.2,
123,Chris Thompson,Wsh,RB,170.0,+0,0.0,+0,0.2,
124,John Kuhn,GB,RB,170.0,+0,0.0,+0,0.2,
125,Stepfan Taylor,Ari,RB,170.0,+0,0.0,+0,0.2,
126,Kenny Hilliard,Hou,RB,170.0,+0,0.0,+0,0.2,
127,Vick Ballard,Ind,RB,170.0,+0,0.0,+0,0.2,
128,Antonio Andrews,Ten,RB,170.0,+0,0.0,+0,0.2,
129,Maurice Jones-Drew,Oak,RB,170.0,+0,0.0,+0,0.1,
130,LaMichael James,Mia,RB,170.0,+0,0.0,+0,0.1,
131,Charcandrick West,KC,RB,170.0,+0,0.0,+0,0.1,
132,Shonn Greene,Ten,RB,170.0,+0,0.0,+0,0.1,
133,Michael Dyer,Oak,RB,170.0,+0,0.0,+0,0.1,
134,Edwin Baker,NO,RB,170.0,+0,0.0,+0,0.1,
135,John Crockett,GB,RB,170.0,+0,0.0,+0,0.1,
136,Silas Redd*,Wsh,RB,170.0,+0,0.0,+0,0.1,
137,Joseph Addai,FA,RB,170.0,+0,0.0,+0,0.1,
138,Darrin Reaves,KC,RB,170.0,+0,0.0,+0,0.1,
139,BenJarvus Green-Ellis,Cin,RB,170.0,+0,0.0,+0,0.1,
140,Mike Gillislee,Mia,RB,170.0,+0,0.0,+0,0.1,
141,Ray Agnew,Dal,RB,170.0,+0,0.0,+0,0.1,
142,Darrel Young,Wsh,RB,170.0,+0,0.0,+0,0.1,
143,Orleans Darkwa,NYG,RB,170.0,+0,0.0,+0,0.1,
144,Peyton Hillis,NYG,RB,170.0,+0,0.0,+0,0.1,
145,Chris Gronkowski,FA,RB,170.0,+0,0.0,+0,0.1,
146,Rex Burkhead,Cin,RB,170.0,+0,0.0,+0,0.1,
147,Julius Jones,FA,RB,170.0,+0,0.0,+0,0.1,
148,Andre Brown,Hou,RB,170.0,+0,0.0,+0,0.0,
149,Lache Seastrunk,Dal,RB,170.0,+0,0.0,+0,0.0,
150,Mike Sellers,FA,RB,170.0,+0,0.0,+0,0.0,
151,Brian Westbrook,FA,RB,170.0,+0,0.0,+0,0.0,
152,Jeremy Stewart,Den,RB,170.0,+0,0.0,+0,0.0,
153,Jalston Fowler,Ten,RB,170.0,+0,0.0,+0,0.0,
154,Marcus Murphy*,NO,RB,170.0,+0,0.0,+0,0.0,
155,Anthony Sherman,KC,RB,170.0,+0,0.0,+0,0.0,
156,Daniel Thomas,Chi,RB,170.0,+0,0.0,+0,0.0,
157,Kyle Juszczyk,Bal,RB,170.0,+0,0.0,+0,0.0,
158,Kevin Faulk,FA,RB,170.0,+0,0.0,+0,0.0,
159,Michael Zordich,NO,RB,170.0,+0,0.0,+0,0.0,
160,Brandon Jacobs,NYG,RB,170.0,+0,0.0,+0,0.0,
161,Derrick Coleman,Sea,RB,170.0,+0,0.0,+0,0.0,
162,Aaron Ripkowski,GB,RB,170.0,+0,0.0,+0,0.0,
163,Willis McGahee,Cle,RB,170.0,+0,0.0,+0,0.0,
164,Mike James,TB,RB,170.0,+0,0.0,+0,0.0,
165,Zurlon Tipton,Ind,RB,170.0,+0,0.0,+0,0.0,
166,Marcus Lattimore*,SF,RB,170.0,+0,0.0,+0,0.0,
167,Senorise Perry,Chi,RB,170.0,+0,0.0,+0,0.0,
168,Will Ta'ufo'ou,Jac,RB,170.0,+0,0.0,+0,0.0,
169,Jonathan Dwyer,Ari,RB,170.0,+0,0.0,+0,0.0,
