RANK,PLAYER,TEAM,POS,AVG PICK,7 DAY +/-,AVG VALUE,7 DAY +/-,%OWN,
,78,Isaiah Crowell,Cle,RB,83.4,+1.4,5.4,-0.1,86.0,
,79,Jordan Cameron,Mia,TE,84.0,+24.1,2.1,+0.2,86.8,
,80,Allen Robinson,Jac,WR,85.3,+2.5,4.4,+0.1,86.7,
,81,Texans D/ST,D/ST,85.5,-2.6,3.2,+0,99.3,
,82,Ryan Mathews,Phi,RB,85.9,+6.8,3.6,+0.2,84.6,
,83,Nelson Agholor,Phi,WR,86.8,+9.4,4.0,+0.3,86.6,
,84,Eric Decker,NYJ,WR,88.6,+1,3.7,+0,87.2,
,85,Stephen Gostkowski,NE,K,89.8,-4.3,3.1,+0.1,99.8,
,86,Larry Fitzgerald,Ari,WR,90.0,+7.4,2.6,+0.1,86.5,
,87,Julius Thomas,Jac,TE,90.3,-17.8,4.6,-0.5,95.6,
,88,Roddy White,Atl,WR,91.8,+6.2,3.0,+0.1,86.3,
,89,Doug Martin,TB,RB,91.8,+1.8,3.9,+0.3,86.1,
,90,Arian Foster*,Hou,RB,92.0,+6.9,21.5,-8.8,89.5,
,91,Torrey Smith,SF,WR,95.5,+6.8,2.2,+0.1,84.3,
,92,Shane Vereen,NYG,RB,95.5,+2.8,2.9,-0.1,83.5,
,93,Alfred Blue,Hou,RB,97.3,+4,3.5,+0.4,77.7,
,94,Tevin Coleman,Atl,RB,98.9,-29,8.4,-1,87.1,
,95,Tre Mason,StL,RB,100.0,+5.5,2.7,-0.1,79.3,
,96,Matthew Stafford,Det,QB,102.9,+0.1,3.0,+0.2,83.0,
,97,Michael Floyd,Ari,WR,103.4,+11.4,2.2,-0.2,76.7,
,98,Eli Manning,NYG,QB,103.7,+3.7,2.3,+0.3,84.7,
,99,Ryan Tannehill,Mia,QB,104.1,+5.5,2.2,+0.1,86.7,
,100,Charles Johnson,Min,WR,104.7,+11.7,1.6,+0.2,70.2,
,101,Rams D/ST,D/ST,105.0,-2.3,1.9,+0,97.1,
,102,Adam Vinatieri,Ind,K,105.5,-2.5,2.3,+0.1,99.4,
,103,Darren McFadden,Dal,RB,107.9,-8.3,3.8,-0.7,80.8,
,104,Zach Ertz,Phi,TE,108.6,-3.7,2.0,+0,87.1,
,105,Philip Rivers,SD,QB,109.0,+5.3,2.2,+0.2,80.6,
,106,Brandon LaFell*,NE,WR,109.3,-10.7,3.0,-0.4,78.6,
,107,Marques Colston,NO,WR,109.6,+14.1,1.4,+0,70.9,
,108,Victor Cruz,NYG,WR,110.1,+4,2.4,+0,80.1,
,109,Dwayne Allen,Ind,TE,111.3,-3.2,1.6,+0,84.5,
,110,Bishop Sankey,Ten,RB,111.7,-2.1,2.2,-0.2,75.5,
,111,Devonta Freeman,Atl,RB,111.8,+1.8,1.8,+0,71.8,
,112,Steve Smith Sr.,Bal,WR,114.4,+2.5,1.4,+0.1,74.7,
,113,Steven Hauschka,Sea,K,116.8,-3.8,1.9,+0,98.7,
,114,Broncos D/ST,D/ST,116.9,-2.4,1.3,+0,91.2,
,115,John Brown,Ari,WR,117.8,+15.6,1.3,+0.1,53.6,
,116,Duke Johnson,Cle,RB,118.9,+3,1.5,+0,58.9,
,117,Teddy Bridgewater,Min,QB,119.8,-1.3,2.6,+0.4,49.7,
,118,Danny Woodhead,SD,RB,120.0,+17.1,1.2,+0.1,41.6,
,119,Joe Flacco,Bal,QB,120.3,-3,2.1,+0.1,39.8,
,120,Jets D/ST,D/ST,120.4,+0.7,1.4,-0.1,90.1,
,121,Owen Daniels,Den,TE,121.1,+3.1,1.9,+0.1,57.2,
,122,Patriots D/ST,D/ST,121.2,-1.8,1.5,+0,70.2,
,123,Anquan Boldin,SF,WR,121.3,+3.5,1.2,+0,65.2,
,124,Devin Funchess,Car,WR,121.5,+48.5,2.2,+2.2,45.1,
,125,Marcus Mariota,Ten,QB,121.8,-6.3,3.1,-0.2,33.0,
,126,Breshad Perriman,Bal,WR,122.8,-13.1,1.8,-0.1,71.2,
,127,Alex Smith,KC,QB,123.0,+4.3,0.0,+0,14.1,
,128,Davante Adams,GB,WR,123.2,+1.3,1.8,+0,70.3,
,129,Delanie Walker,Ten,TE,123.3,+3.6,1.3,+0,70.2,
,130,Dolphins D/ST,D/ST,123.5,+1,1.5,+0,86.6,
,131,Colin Kaepernick,SF,QB,123.8,+1.3,1.8,+0.1,58.8,
,132,Jameis Winston,TB,QB,124.6,-4,2.7,-0.1,34.8,
,133,Antonio Gates,SD,TE,125.0,+0.2,1.9,-0.4,68.9,
,134,Vernon Davis,SF,TE,125.3,+2.3,2.2,+0,29.8,
,135,Kyle Rudolph,Min,TE,125.9,+2.7,1.8,+0.3,35.6,
,136,Andy Dalton,Cin,QB,126.1,-3.2,0.0,+0,18.8,
,137,Kendall Wright,Ten,WR,126.3,+3,1.2,+0,59.9,
,138,Sam Bradford,Phi,QB,126.9,+5.7,1.9,+0.2,50.9,
,139,Jay Cutler,Chi,QB,127.7,+2.7,2.2,+2.2,25.3,
,140,Ravens D/ST,D/ST,128.0,+0,1.1,+0,82.1,
,141,Charles Sims,TB,RB,128.2,-12.4,1.5,-0.2,60.8,
,142,Montee Ball,Den,RB,128.3,-3.6,1.4,+0,61.4,
,143,Heath Miller,Pit,TE,128.6,-4.7,1.7,+1.7,28.0,
,144,Andre Williams,NYG,RB,128.7,-3.8,1.2,-0.1,56.2,
,145,Coby Fleener,Ind,TE,128.7,+0.1,1.9,+1.9,28.4,
,146,Eagles D/ST,D/ST,129.1,+3,1.5,+0.1,52.9,
,147,Packers D/ST,D/ST,129.7,-3,1.4,+0.2,47.6,
,148,Darren Sproles,Phi,RB,129.7,+1.2,1.2,+0,42.7,
,149,Lorenzo Taliaferro,Bal,RB,131.2,-3.4,1.1,+0,49.5,
,150,Carson Palmer,Ari,QB,131.4,+3.5,1.9,+0.1,37.5,
,151,Fred Jackson,Buf,RB,131.6,-3.6,1.2,+0,52.8,
,152,Pierre Garcon,Wsh,WR,131.6,+8.3,1.2,+0,41.2,
,153,Cardinals D/ST,D/ST,131.8,+1,1.2,+0,74.0,
,154,Chiefs D/ST,D/ST,132.1,-5.3,0.0,+0,16.8,
,155,Josh Hill,NO,TE,132.3,-3.2,1.6,-0.1,49.8,
,156,Justin Tucker,Bal,K,132.9,-2.8,1.3,+0.1,93.7,
,157,Connor Barth,Den,K,132.9,-1.3,1.3,+0,93.6,
,158,Knile Davis,KC,RB,132.9,-0.3,1.3,+0,52.9,
,159,Eddie Royal,Chi,WR,133.5,+5.8,1.8,+1.8,39.6,
,160,DeAngelo Williams,Pit,RB,133.7,-3.4,1.2,+0,55.1,
,161,Reggie Bush,SF,RB,133.7,+0.2,1.2,+0,46.0,
,162,Cody Latimer,Den,WR,134.3,+5.9,1.2,+0,47.0,
,163,Terrance Williams,Dal,WR,134.4,-0.2,1.5,+0.1,35.2,
,164,Percy Harvin,Buf,WR,134.6,-13.6,1.3,+0,63.6,
,165,Tyler Eifert,Cin,TE,134.6,-4.8,1.6,+1.6,26.7,
,166,Charles Clay,Buf,TE,134.8,+35.2,0.0,+0,13.4,
,167,Jonas Gray,NE,RB,135.0,-1.3,1.7,+0,36.4,
,168,DeVante Parker,Mia,WR,135.4,+3,1.3,+0,48.4,
,169,David Cobb,Ten,RB,136.1,+4.1,1.3,+0.1,35.4,
,170,Michael Crabtree,Oak,WR,136.2,-2.8,1.7,+1.7,26.9,
,171,Eric Ebron,Det,TE,136.4,-1.1,0.0,+0,15.2,
,172,Larry Donnell,NYG,TE,137.2,+1.8,1.2,+0.1,34.7,
,173,Cody Parkey,Phi,K,137.5,-0.7,1.3,+0,91.2,
,174,Doug Baldwin,Sea,WR,137.6,-1.7,1.2,+0,32.6,
,175,Denard Robinson,Jac,RB,138.4,+0.3,1.1,+0,40.8,
,176,Panthers D/ST,D/ST,138.7,-4.9,1.6,+0.4,34.3,
,177,Dan Bailey,Dal,K,139.0,+1.1,1.3,+0,81.8,
,178,Austin Seferian-Jenkins,TB,TE,139.1,-0.2,0.0,+0,19.4,
,179,Lions D/ST,D/ST,139.5,+0.5,1.1,+0,51.7,
,180,Mason Crosby,GB,K,140.9,-1.3,1.5,+0.1,71.0,
,181,Kenny Stills,Mia,WR,142.0,+28,0.0,+0,19.3,
,182,Donte Moncrief,Ind,WR,142.3,+2.2,1.1,+0,26.1,
,183,Malcom Floyd,SD,WR,143.2,-0.2,1.1,+0,30.6,
,184,Matt Prater,Det,K,143.3,-0.4,1.1,+0,82.4,
,185,Jerick McKinnon,Min,RB,143.6,-0.1,1.1,+0,27.1,
,186,Theo Riddick,Det,RB,144.3,-7,1.0,+0,30.5,
,187,Terrance West,Cle,RB,144.5,-1.4,1.1,-0.1,28.8,
,188,Dorial Green-Beckham,Ten,WR,144.5,-5.8,1.6,+0,27.5,
,189,Vikings D/ST,D/ST,146.0,-0.7,1.1,+0,30.2,
,190,Jay Ajayi,Mia,RB,146.0,-0.2,1.2,+0,19.7,
,191,Brian Quick,StL,WR,146.2,+0.4,0.0,+0,21.0,
,192,Matt Bryant,Atl,K,147.3,-0.3,1.1,+0,77.5,
,193,Phil Dawson,SF,K,147.4,-3.2,0.0,+0,12.3,
,194,Marvin Jones,Cin,WR,148.9,+21.1,0.0,+0,14.0,
,195,Blair Walsh,Min,K,149.8,-3.7,1.5,+0.1,27.8,
,196,Dan Carpenter,Buf,K,152.5,+2.5,1.0,+0,46.2,
,197,Caleb Sturgis,Mia,K,155.0,-0.7,0.0,+0,22.8,
,198,Kelvin Benjamin*,Car,WR,170.0,-134.3,23.4,-0.3,50.2,
,199,Kevin White*,Chi,WR,170.0,-74,5.5,-0.7,49.3,
,200,David Johnson,Ari,RB,170.0,-23.6,1.2,+0,15.8,
